"Genus","Species","Subspecies","Strain","Status","LPSN_ID","address"
"Acerihabitans","arboris",NA,"DSM 104038; KCTC 52622; SAP-6","VP; sp. nov.; validly published under the ICNP; correct name",17738,"https://lpsn.dsmz.de/species/acerihabitans-arboris"
"Acetanaerobacterium","elongatum",NA,"CGMCC 1.5012; JCM 12359; Z7","VP; sp. nov.; validly published under the ICNP; correct name",783232,"https://lpsn.dsmz.de/species/acetanaerobacterium-elongatum"
"Acetatifactor","aquisgranensis",NA,"CLA AA-M01; DSM 110981; JCM 36051","VL; sp. nov.; validly published under the ICNP; correct name",43744,"https://lpsn.dsmz.de/species/acetatifactor-aquisgranensis"
"Acetatifactor","muris",NA,"ATCC BAA-2170; CT-m2; DSM 23669","VL; sp. nov.; validly published under the ICNP; correct name",790255,"https://lpsn.dsmz.de/species/acetatifactor-muris"
"Aceticella","autotrophica",NA,"3443-3Ac; DSM 108286; VKM B-3415","VL; sp. nov.; validly published under the ICNP; correct name",46550,"https://lpsn.dsmz.de/species/aceticella-autotrophica"
"Acetilactobacillus","jinshanensis",NA,"CICC 6269; HSLZ-75; JCM 33270","VP; sp. nov.; validly published under the ICNP; correct name",5493,"https://lpsn.dsmz.de/species/acetilactobacillus-jinshanensis"
"Acetitomaculum","ruminis",NA,"ATCC 43876; DSM 5522; Strain 139B","VL; sp. nov.; validly published under the ICNP; correct name",772479,"https://lpsn.dsmz.de/species/acetitomaculum-ruminis"
"Acetivibrio","aldrichii",NA,"ATCC 49358; DSM 6159; OCM 112; OGI 112; P-1","VP; comb. nov.; validly published under the ICNP; correct name",5941,"https://lpsn.dsmz.de/species/acetivibrio-aldrichii"
"Acetivibrio","alkalicellulosi",NA,"DSM 17461; VKM 2349; VKM B-2349; Z-7026","VP; comb. nov.; validly published under the ICNP; correct name",5943,"https://lpsn.dsmz.de/species/acetivibrio-alkalicellulosi"
"Acetivibrio","cellulolyticus",NA,"ATCC 33288; CD2; DSM 1870; LMG 8466; NRC 2248","VP; sp. nov.; validly published under the ICNP; correct name",772481,"https://lpsn.dsmz.de/species/acetivibrio-cellulolyticus"
"Acetivibrio","clariflavus",NA,"DSM 19732; EBR-02E-0045; EBR45; NBRC 101661","VP; comb. nov.; validly published under the ICNP; correct name",5949,"https://lpsn.dsmz.de/species/acetivibrio-clariflavus"
"Acetivibrio","ethanolgignens",NA,"77-6; ATCC 33324; DSM 3005; LMG 7055","VP; sp. nov.; validly published under the ICNP; correct name",772482,"https://lpsn.dsmz.de/species/acetivibrio-ethanolgignens"
"Acetivibrio","mesophilus",NA,"CECT 9704; DSM 107956; N2K1","VP; comb. nov.; validly published under the ICNP; correct name",5587,"https://lpsn.dsmz.de/species/acetivibrio-mesophilus"
"Acetivibrio","saccincola",NA,"CECT 9155; DSM 101079; GGR1","VP; comb. nov.; validly published under the ICNP; correct name",5991,"https://lpsn.dsmz.de/species/acetivibrio-saccincola"
"Acetivibrio","straminisolvens",NA,"CSK1; DSM 16021; IAM 15070; JCM 21531; NBRC 103399","VP; comb. nov.; validly published under the ICNP; correct name",5955,"https://lpsn.dsmz.de/species/acetivibrio-straminisolvens"
"Acetivibrio","thermocellus",NA,"ATCC 27405; DSM 1237; JCM 9322; LMG 10435; NBRC 103400; NRRL B-4536","VP; comb. nov.; validly published under the ICNP; correct name",5956,"https://lpsn.dsmz.de/species/acetivibrio-thermocellus"
"Acetoanaerobium","noterae",NA,"ATCC 35199; NOT-3","VP; sp. nov.; validly published under the ICNP; correct name",783234,"https://lpsn.dsmz.de/species/acetoanaerobium-noterae"
"Acetoanaerobium","pronyense",NA,"DSM 27512; JCM 19400; ST07-YE","VP; sp. nov.; validly published under the ICNP; correct name",793068,"https://lpsn.dsmz.de/species/acetoanaerobium-pronyense"
"Acetoanaerobium","sticklandii",NA,"ATCC 12662; BCRC 14485; CCRC 14485; CCUG 9281; DSM 519; JCM 1433; NCIB 10654; NCIMB 10654; StadtmanHF","VP; comb. nov.; validly published under the ICNP; correct name",794920,"https://lpsn.dsmz.de/species/acetoanaerobium-sticklandii"
"Acetobacter","aceti",NA,"ATCC 15973; CCUG 18122; CIP 103111; DSM 3508; ICMP 8807; IFO 14818; JCM 7641; LMG 1261; LMG 1504; NBIMCC 8850; NBRC 14818; NCCB 23001; NCIB 8621; NCIMB 8621","VL; comb. nov.; validly published under the ICNP; correct name",772484,"https://lpsn.dsmz.de/species/acetobacter-aceti"
"Acetobacter","cerevisiae",NA,"ATCC 23765; DSM 14362; LMG 1625; NCIB 8894; NCIMB 8894","VP; sp. nov.; validly published under the ICNP; correct name",772492,"https://lpsn.dsmz.de/species/acetobacter-cerevisiae"
"Acetobacter","cibinongensis",NA,"4H-1; CIP 107380; DSM 15549; IFO 16605; JCM 11196; NBRC 16605; NRIC 482","VL; sp. nov.; validly published under the ICNP; correct name",772493,"https://lpsn.dsmz.de/species/acetobacter-cibinongensis"
"Acetobacter","conturbans",NA,"LMG 1627; NCIMB 8945","VP; sp. nov.; validly published under the ICNP; correct name",14543,"https://lpsn.dsmz.de/species/acetobacter-conturbans"
"Acetobacter","estunensis",NA,"ATCC 23753; DSM 4493; IFO 13751; JCM 21172; LMG 1626; NBRC 13751; NCIB 8935; NCIMB 8935","VL; comb. nov.; validly published under the ICNP; correct name",772495,"https://lpsn.dsmz.de/species/acetobacter-estunensis"
"Acetobacter","fabarum",NA,"985; DSM 19596; LMG 24244; R-36330","VP; sp. nov.; validly published under the ICNP; correct name",786649,"https://lpsn.dsmz.de/species/acetobacter-fabarum"
"Acetobacter","fallax",NA,"LMG 1636; NCIMB 8956","VP; sp. nov.; validly published under the ICNP; correct name",14544,"https://lpsn.dsmz.de/species/acetobacter-fallax"
"Acetobacter","farinalis",NA,"BCC 44845; G360-1; NBRC 107750; PCU 319","VL; sp. nov.; validly published under the ICNP; correct name",789468,"https://lpsn.dsmz.de/species/acetobacter-farinalis"
"Acetobacter","garciniae",NA,"LMG 32243; MS16-SU-2; TBRC 12339","VP; sp. nov.; validly published under the ICNP; correct name",19470,"https://lpsn.dsmz.de/species/acetobacter-garciniae"
"Acetobacter","ghanensis",NA,"430A; DSM 18895; LMG 23848; R-29337","VP; sp. nov.; validly published under the ICNP; correct name",785827,"https://lpsn.dsmz.de/species/acetobacter-ghanensis"
"Acetobacter","indonesiensis",NA,"5H-1; DSM 15552; IFO 16471; JCM 10948; LMG 19824; NBRC 16471; NRIC 313","VL; sp. nov.; validly published under the ICNP; correct name",772498,"https://lpsn.dsmz.de/species/acetobacter-indonesiensis"
